data;valor
2023-06-28;4,8557
2023-06-29;4,8578
2023-06-30;4,8186
2023-07-03;4,787
2023-07-04;4,805
2023-07-05;4,8571
2023-07-06;4,8971
2023-07-07;4,8793
2023-07-10;4,8729
2023-07-11;4,8943
2023-07-12;4,8052
2023-07-13;4,8032
2023-07-14;4,7951
2023-07-17;4,8296
2023-07-18;4,8034
2023-07-19;4,7994
2023-07-20;4,7882
2023-07-21;4,7726
2023-07-24;4,7451
2023-07-25;4,749
2023-07-26;4,7362
2023-07-27;4,7196
2023-07-28;4,7247
2023-07-31;4,7409
2023-08-01;4,7746
2023-08-02;4,8077
2023-08-03;4,8791
2023-08-04;4,8603
2023-08-07;4,9004
2023-08-08;4,9211
2023-08-09;4,9009
2023-08-10;4,8512
2023-08-11;4,8912
2023-08-14;4,9475
2023-08-15;4,9806
2023-08-16;4,9765
2023-08-17;4,981
2023-08-18;4,9718
2023-08-21;4,9841
2023-08-22;4,9425
2023-08-23;4,8971
2023-08-24;4,8742
2023-08-25;4,8766
2023-08-28;4,8933
2023-08-29;4,87
2023-08-30;4,8647
2023-08-31;4,9213
2023-09-01;4,9312
2023-09-04;4,917
2023-09-05;4,9699
2023-09-06;4,9756
2023-09-08;4,9829
2023-09-11;4,936
2023-09-12;4,9499
2023-09-13;4,9165
2023-09-14;4,8745
2023-09-15;4,8683
2023-09-18;4,8529
2023-09-19;4,8569
2023-09-20;4,8481
2023-09-21;4,9223
2023-09-22;4,9125
2023-09-25;4,96
2023-09-26;4,9711
2023-09-27;5,0283
2023-09-28;5,0469
2023-09-29;5,007
2023-10-02;5,0673
2023-10-03;5,1094
2023-10-04;5,152
2023-10-05;5,1707
2023-10-06;5,1912
2023-10-09;5,166
2023-10-10;5,0856
2023-10-11;5,049
2023-10-13;5,0619
2023-10-16;5,0612
2023-10-17;5,0378
2023-10-18;5,0562
2023-10-19;5,0534
2023-10-20;5,0522
2023-10-23;5,0158
2023-10-24;5,0059
2023-10-25;4,9975
2023-10-26;5,0049
2023-10-27;4,9474
2023-10-30;5,0068
2023-10-31;5,0569
2023-11-01;5,0188
2023-11-03;4,8904
2023-11-06;4,8993
2023-11-07;4,8664
2023-11-08;4,8849
2023-11-09;4,9001
2023-11-10;4,9213
2023-11-13;4,924
2023-11-14;4,8676
2023-11-16;4,8569
2023-11-17;4,8843
2023-11-20;4,8717
2023-11-21;4,88
2023-11-22;4,8962
2023-11-23;4,8925
2023-11-24;4,8921
2023-11-27;4,8945
2023-11-28;4,8861
2023-11-29;4,8927
2023-11-30;4,9349
2023-12-01;4,9185
2023-12-04;4,9085
2023-12-05;4,9516
2023-12-06;4,9025
2023-12-07;4,8943
2023-12-08;4,9152
2023-12-11;4,9434
2023-12-12;4,947
2023-12-13;4,9573
2023-12-14;4,8906
2023-12-15;4,9391
2023-12-18;4,9393
2023-12-19;4,8657
2023-12-20;4,876
2023-12-21;4,8749
2023-12-22;4,8613
2023-12-26;4,8362
2023-12-27;4,83
2023-12-28;4,8407
2023-12-29;4,8407
